"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Privacy-Preserving Fall Detection with Deep Learning on mmWave Radar Signal","Y. Sun; R. Hang; Z. Li; M. Jin; K. Xu","Department of Computer Science and Electrical Engineering, University of Missouri, Kansas City, USA; Department of Computer Science and Electrical Engineering, University of Missouri, Kansas City, USA; Department of Computer Science and Electrical Engineering, University of Missouri, Kansas City, USA; Ric Semiconductor, LLC, Texas, USA; Ric Semiconductor, LLC, Texas, USA",2019 IEEE Visual Communications and Image Processing (VCIP),"23 Jan 2020","2019","","","1","4","Fall is one of the main reasons for body injuries among seniors. Traditional fall detection methods are mainly achieved by wearable and non-wearable techniques, which may cause skin discomfort or invasion of privacy to users. In this paper, we propose an automatic fall detection method with the assist of the mmWave radar signal to solve the aforementioned issues. The radar devices are capable to record the reflection from objects in both the spatial and temporal domain, which can be used to depict the activities of users with the support of a recurrent neural network (RNN) with long-short-term memory (LSTM) units. First, we employ the radar low-dimension embedding (RLDE) algorithm to preprocess the Range-angle reflection heatmap sequence converted from the raw radar signal for reducing the redundancy in the spatial domain. Then, the processed sequence is split into frames for inputting LSTM units one by one. Eventually, the output from the last LSTM unit is fed in a Softmax layer for classifying different activities. To validate the effectiveness of our proposed method, we construct a radar dataset with the assist of market radar module devices, to implement several experiments. The experimental results demonstrate that, compared to LSTM only and the widely used 3-D convolutional neural network (3-D CNN), combining RLDE and LSTM can achieve the best detection results with much less computational time consumption. In addition, we extend the proposed method to classify multiple human activities simultaneously and the satisfied performances are observed.","2642-9357","978-1-7281-3723-0","10.1109/VCIP47243.2019.8965661","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8965661","Fall detection;mmWave radar signal;radar low-dimension embedding (RFLE) algorithm;long-short-term memory (LSTM);human activities detection","Heating systems;Recurrent neural networks;Three-dimensional displays;Radar detection;Radar imaging;Reflection;Radar signal processing;Fall detection;Millimeter wave communication;Long short term memory","","32","","12","IEEE","23 Jan 2020","1-4 Dec. 2019","1-4 Dec. 2019","IEEE","IEEE Conferences"
"Internet of Things (IoT) Privacy–Protected, Fall-Detection System for the Elderly Using the Radar Sensors and Deep Learning","E. L. Chuma; L. L. B. Roger; G. G. de Oliveira; Y. Iano; D. Pajuelo","Unicamp University, Campinas, Brazil; Unicamp University, Campinas, Brazil; Unicamp University, Campinas, Brazil; Unicamp University, Campinas, Brazil; Unicamp University, Campinas, Brazil",2020 IEEE International Smart Cities Conference (ISC2),"29 Oct 2020","2020","","","1","4","The increase in the number world population of elderly citizens, as well as those who live in solitude, needs an immediate solution with an intelligent monitoring system at home. In this work, we present an intelligent fall-detection system based on IoT to monitor the elderly with your privacy-protected. Currently, fall detection has attracted significant research attention and deep learning has shown promising performance in this task using conventional cameras. However, these traditional methods pose a risk of the leakage of personal privacy. This work proposes a novel fall-detection system that uses a continuous-wave Doppler radar sensor to acquisition the elderly movements and sends this information thought the internet to a server with deep learning using a convolutional neural network (CNN) that identifies the fall. The radar sensor is inexpensive, completely camera-free, and collects no personally identifiable information, thereby allaying privacy concerns. Additionally, unlike traditional cameras, it has environmental robustness and dark/light-independence. The proposed system obtained 99.9% accuracy in detecting falls by using the GoogleNet convolutional neural network. The proposed system is also capable of detecting other types of movements in addition to those tested, including the detection of diseases such as COVID-19 through the cough movement.","2687-8860","978-1-7281-8294-0","10.1109/ISC251055.2020.9239074","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9239074","healthcare;IoT;privacy;deep learning;radar","Deep learning;Privacy;Senior citizens;Cameras;Robustness;Doppler radar;Internet of Things","","31","","21","IEEE","29 Oct 2020","28 Sept.-1 Oct. 2020","28 Sept.-1 Oct. 2020","IEEE","IEEE Conferences"
"A Privacy Protected Fall Detection IoT System for Elderly Persons Using Depth Camera","X. Kong; Z. Meng; L. Meng; H. Tomiyama","Graduate School of Science and Engineering, Ritsumeikan University, Kusatsu, Shiga, Japan; Graduate School of Science and Engineering, Ritsumeikan University, Kusatsu, Shiga, Japan; College of Science and Engineering, Ritsumeikan University, Kusatsu, Shiga, Japan; College of Science and Engineering, Ritsumeikan University, Kusatsu, Shiga, Japan",2018 International Conference on Advanced Mechatronic Systems (ICAMechS),"25 Oct 2018","2018","","","31","35","The proportion of the elderly persons in the world is constantly on the rise, and fall accidents have become a serious problem, especially for those who live alone. Currently, fall detection has attracted a lot of research attention and machine learning (ML) has shown promising performance in this task due to their strengths in person recognition. However, many existing methods using RGB images as the training data, resulting in the main information to be lost, or do not appropriately consider the effect of light, resulting in weak generalizability of the fall detection. Moreover, traditional methods pose a risk of leakage of personal privacy. This paper proposes a fall detection IoT system based on depth camera and fast Fourier transform (FFT) to overcome these problems. We first use depth camera to get the skeleton images of a person who is standing or falling down. We then get the characteristic quantity of these images and train them by ML to get the training model. Finally, we use FFT to encrypt images and detect the fall. We constructe a training database that includes 1131 images, and the experimental evaluation of the images demonstrates that our algorithm is effective for detecting falls and maintain privacy.","2325-0690","978-1-5386-7174-0","10.1109/ICAMechS.2018.8506987","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8506987","fall detection;elderly persons;IoT system;privacy protection;machine learning","Skeleton;Senior citizens;Cameras;Privacy;Encryption;Training","","23","","16","IEEE","25 Oct 2018","30 Aug.-2 Sept. 2018","30 Aug.-2 Sept. 2018","IEEE","IEEE Conferences"
"Automated fall detection on privacy-enhanced video","A. Edgcomb; F. Vahid","Department of Computer Science and Engineering, University of California, Riverside, CA, USA; Department of Computer Science and Engineering, University of California, Riverside, CA, USA",2012 Annual International Conference of the IEEE Engineering in Medicine and Biology Society,"10 Nov 2012","2012","","","252","255","A privacy-enhanced video obscures the appearance of a person in the video. We consider four privacy enhancements: blurring of the person, silhouetting of the person, covering the person with a graphical box, and covering the person with a graphical oval. We demonstrate that an automated video-based fall detection algorithm can be as accurate on privacy-enhanced video as on raw video. The algorithm operated on video from a stationary in-home camera, using a foreground-background segmentation algorithm to extract a minimum bounding rectangle (MBR) around the motion in the video, and using time series shapelet analysis on the height and width of the rectangle to detect falls. We report accuracy applying fall detection on 23 scenarios depicted as raw video and privacy-enhanced videos involving a sole actor portraying normal activities and various falls. We found that fall detection on privacy-enhanced video, except for the common approach of blurring of the person, was competitive with raw video, and in particular that the graphical oval privacy enhancement yielded the same accuracy as raw video, namely 0.91 sensitivity and 0.92 specificity.","1558-4615","978-1-4577-1787-1","10.1109/EMBC.2012.6345917","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6345917","Fall detection;video privacy;assistive monitoring;smart homes;telehealth","Time series analysis;Streaming media;Privacy;Accuracy;Shape;Sensitivity;Detection algorithms","Accidental Falls;Aged;Aged, 80 and over;Algorithms;Female;Humans;Image Processing, Computer-Assisted;Image Processing, Computer-Assisted;Male;Monitoring, Physiologic;Monitoring, Physiologic;Sensitivity and Specificity;Video Recording","18","","16","IEEE","10 Nov 2012","28 Aug.-1 Sept. 2012","28 Aug.-1 Sept. 2012","IEEE","IEEE Conferences"
"A Convolutional Neural Network Model for Privacy-Sensitive Ultra-Wideband Radar-Based Human Static Posture Classification and Fall Detection","K. Thipprachak; P. Tangamchit; S. Lerspalungsanti","Department of Control Systems and Instrumentation, King Mongkut's University of Technology Thonburi, Bangkok, Thailand; Department of Control Systems and Instrumentation Engineering, King Mongkut's University of Technology Thonburi, Bangkok, Thailand; National Metal and Materials Technology Center, National Science and Technology Development Agency, Pathum Thani, Thailand",2023 IEEE Statistical Signal Processing Workshop (SSP),"9 Aug 2023","2023","","","443","447","A reliable fall detection system can enhance the safety of senior citizens by detecting falls in private areas, such as restrooms, where accidents may go unnoticed. This study aimed to create a static human posture recognition system with a possibility of extension for detecting falls in private areas. The system used ultra-wideband (UWB) sensors to detect human body gestures and analyze an individual's posture to determine a laydown posture, which is abnormal in restroom usage. UWB is capable of protecting human privacy because its output contains limited information. This study implemented a convolutional neural network (CNN) model that classified signals from an ultra-wideband sensor in a bathroom into four categories: standing, sitting, lying down, and nobody. This paper proposes a CNN classifier with an overall accuracy of 93%. These results demonstrate the capability of the proposed system to recognize static human posture in private locations.","2693-3551","978-1-6654-5245-8","10.1109/SSP53291.2023.10208028","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10208028","convolutional neural network;ultra-wideband (UWB);human static posture classification","Privacy;Signal processing;Sensor systems;Sensors;Safety;Convolutional neural networks;Reliability","","7","","12","IEEE","9 Aug 2023","2-5 July 2023","2-5 July 2023","IEEE","IEEE Conferences"
"Fall Detection under Privacy Protection Using Multi-layer Compressed Sensing","J. -x. Liu; R. Tan; N. Sun; G. Han; X. -f. Li","Engineering Research Center of Wideband Wireless Communication Technology, Ministry of Education College of Telecommunications and Information Engineering, Nanjing University of Posts and Telecommunications, Nanjing, China; Engineering Research Center of Wideband Wireless Communication Technology, Ministry of Education College of Telecommunications and Information Engineering, Nanjing University of Posts and Telecommunications, Nanjing, China; Engineering Research Center of Wideband Wireless Communication Technology, Ministry of Education College of Telecommunications and Information Engineering, Nanjing University of Posts and Telecommunications, Nanjing, China; Engineering Research Center of Wideband Wireless Communication Technology, Ministry of Education College of Telecommunications and Information Engineering, Nanjing University of Posts and Telecommunications, Nanjing, China; Engineering Research Center of Wideband Wireless Communication Technology, Ministry of Education College of Telecommunications and Information Engineering, Nanjing University of Posts and Telecommunications, Nanjing, China",2020 3rd International Conference on Artificial Intelligence and Big Data (ICAIBD),"9 Jul 2020","2020","","","247","251","As the phenomenon of empty nest elderly becomes increasingly obvious, how to protect the health of the elderly living alone has attracted researchers' attention. Among all the researches, fall as the most common accident of the elderly, its corresponding vision-based detection system design is the most important. However, directly using image-clear traditional cameras to monitor the daily lives of the elderly at home will bring the risk of privacy disclosure. Therefore, this paper proposes a fall detection system under privacy protection. Firstly, multi-layer compressed sensing (CS) model is introduced to process the video frames, so that the video can reach visual shielding effect. Then, for the compressed video, we improve the local binary pattern on three orthogonal planes (LBP-TOP) feature to represent the object behavior effectively. Finally, the fall detection problem is transformed into a behavioral binary classification problem. The experimental results on two public datasets show that the specificity, sensitivity and accuracy of the algorithm proposed in this paper have maintained at a good level.","","978-1-7281-9741-8","10.1109/ICAIBD49809.2020.9137474","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9137474","privacy protection;fall detection;compressed sensing;LBP-TOP","Privacy;Visualization;Data privacy;Sensitivity;Surveillance;Senior citizens;Sensors","","6","","19","IEEE","9 Jul 2020","28-31 May 2020","28-31 May 2020","IEEE","IEEE Conferences"
"SDN-YOLO: Research on the Fall Detection Algorithm for Privacy Scenarios Based on Optimized YOLO11","K. Li; S. Song; J. Zhang; Y. Wang; S. Zheng; Z. Yang; Y. Gao; X. Ding","School of Computer and Information Engineering, Shanghai Polytechnic University, Shanghai, China; School of Computer and Information Engineering, Shanghai Polytechnic University, Shanghai, China; Data Intelligence Product Department, Wonders Information Co., Ltd, Shanghai, China; Data Intelligence Product Department, Wonders Information Co., Ltd, Shanghai, China; Data Intelligence Product Department, Wonders Information Co., Ltd, Shanghai, China; Data Intelligence Product Department, Wonders Information Co., Ltd, Shanghai, China; Data Intelligence Product Department, Wonders Information Co., Ltd, Shanghai, China; Data Intelligence Product Department, Wonders Information Co., Ltd, Shanghai, China","2025 IEEE 5th International Conference on Electronic Technology, Communication and Information (ICETCI)","24 Jul 2025","2025","","","103","107","With the increasing degree of population aging, the rapid rise in the elderly population will lead to a serious issue of fall detection for elderly individuals living alone. Fall detection using images from conventional cameras exposes the privacy of elderly individuals and suffers from performance degradation due to insufficient lighting. Therefore, it was decided to use depth images for fall detection. The current methods for fall detection still face issues such as inconvenience, low accuracy, and high missed detection rates. This paper presents SDN-YOLO, a fall detection algorithm designed for privacy-preserving scenarios, which is based on an enhanced version of YOLO11, aimed at improving the detection rate. First, the C3k2 module is redesigned in the backbone network. By integrating the SConv branch for edge information extraction and the convolution branch for spatial information, this module enables the model to learn more comprehensive image feature representations. Secondly, to address the potential loss of detailed information due to the pooling operation in SPPF, convolution with different dilation rates is used to capture information in the image. Additionally, parameter sharing in the convolution helps reduce redundancy, thereby improving model efficiency. Finally, the BiFPN concept is introduced in the neck part, enabling the model to effectively fuse feature information from different layers, thereby improving the model's performance. Experimental results demonstrate that SDN-YOLO enhances the mAP@0.5 by 8.5%, Recall by 5.9%, and Precision by 2.7% over the baseline YOLO11 model on the dataset.","","979-8-3315-3372-4","10.1109/ICETCI64844.2025.11084159","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11084159","fall detection;YOLO11;C3k2;SPPF;BiFPN","Privacy;Convolution;Image edge detection;Redundancy;Lighting;Neck;Fall detection;Older adults;Kernel;Optimization","","","","17","IEEE","24 Jul 2025","23-25 May 2025","23-25 May 2025","IEEE","IEEE Conferences"
"Privacy-Preserving Fall Detection Using Ensemble Learning on mmWave Radar Signals","J. -G. Wang; C. -Y. Hsu; H. -C. Li; C. -Y. Chuang","Department of Medical Informatics, Tzu Chi University, Hualien, Taiwan; Department of Medical Informatics, Tzu Chi University, Hualien, Taiwan; Department of Medical Informatics, Tzu Chi University, Hualien, Taiwan; Department of Medical Informatics, Tzu Chi University, Hualien, Taiwan",2025 International Conference on Fuzzy Theory and Its Applications (iFUZZY),"15 Dec 2025","2025","","","1","4","Fall detection devices have been one of the technologies continuously developed by various parties in recent years. These systems had detected falls and notified relevant personnel through the use of camera devices. However, the deployment of camera-based solutions in private areas, such as bathrooms or bedrooms, has raised significant concerns regarding personal privacy. To address these issues, we have adopted millimeter-wave radar as the primary sensing technology. We have utilized the signals acquired from the millimeter-wave radar for fall detection applications. These signals have included three-dimensional coordinates and velocity information of detected objects. Since such data are signal-based rather than image-based, they have offered substantial protection of personal privacy. Furthermore, millimeter-wave radar has demonstrated high sensitivity to moving objects, which has significantly enhanced its capability for accurate localization of targets within an environment. This study has employed Long Short-Term Memory (LSTM), Recurrent Neural Network (RNN), and a modified Gated Recurrent Unit (GRU) to perform comparative analyses across different datasets. Hyperparameter optimization has been carried out using the Optuna framework. Subsequently, ensemble learning has been applied to further enhance the predictive performance of the models, resulting in a final accuracy of 99.40%.","2377-5831","978-1-6654-5792-7","10.1109/iFUZZY67152.2025.11286882","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11286882","Fall detection;Millimeter-wave radar;Ensemble learning","Accuracy;Quantization (signal);Predictive models;Millimeter wave radar;Data models;Hardware;Ensemble learning;Fall detection;Optimization;Long short term memory","","","","12","IEEE","15 Dec 2025","5-8 Nov. 2025","5-8 Nov. 2025","IEEE","IEEE Conferences"
"Fall Detection Wristband with Optimized Security and Health Monitoring","B. Al-Rowaili; N. Al-Obaidli; D. Al-Marri; K. Abualsaud; E. Yaacoub","Depratment of Computer Science and Engineering, College of Engineering, Qatar University, Doha, Qatar; Depratment of Computer Science and Engineering, College of Engineering, Qatar University, Doha, Qatar; Depratment of Computer Science and Engineering, College of Engineering, Qatar University, Doha, Qatar; Depratment of Computer Science and Engineering, College of Engineering, Qatar University, Doha, Qatar; Depratment of Computer Science and Engineering, College of Engineering, Qatar University, Doha, Qatar",2024 International Wireless Communications and Mobile Computing (IWCMC),"17 Jul 2024","2024","","","697","702","Several people suffer from sudden falls, which puts them seriously at high risk if they do not get help right away. However, if people own a wearable device, they can utilize it to get them help from a nearest hospital whenever they feel tired or suffer from a sudden fall. Elderly people also tend to live alone. After a fall, it is rare for an elderly person to be able to get up or ask for assistance. Therefore, to enable patients to request assistance even in cases where they are unable to get up after a fall, an advanced fall detection system is required, with appropriate hardware and software components. Wireless sensors and Global Positioning System (GPS) gadgets are among the technologies that can be utilized in this regard. While sensors collect information about movement, a GPS device uses information from satellites to pinpoint an object’s exact location inside a given space. The goal of this paper is to describe a developed and implemented fall detection wearable wristband with lightweight security for health monitoring. In the event of an emergency, the smartphone application will communicate the user’s specific location to the nearest hospital and their emergency contacts. The proposed wristband achieved our goal by developing a system that can communicate with the mobile application. Furthermore, the model testing produced $92 \%$ overall accuracy.","2376-6506","979-8-3503-6126-1","10.1109/IWCMC61514.2024.10592481","Qatar University; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10592481","Fall detection;wearable devices;diabetes;ambient assisted living (AAL);wireless sensors;smartphone application","Wireless communication;Wireless sensor networks;Hospitals;Sensors;Security;Fall detection;Older adults","","4","","20","IEEE","17 Jul 2024","27-31 May 2024","27-31 May 2024","IEEE","IEEE Conferences"
"Fall Detection Using Smartphones to Enhance Safety and Security of Older Adults at Home","H. Nguyen; F. Zhou; F. Mirza; M. A. Naeem","School of Engineering, Computer & Mathematical Sciences, Auckland University of Technology, Auckland, New Zealand; School of Engineering, Computer & Mathematical Sciences, Auckland University of Technology, Auckland, New Zealand; School of Engineering, Computer & Mathematical Sciences, Auckland University of Technology, Auckland, New Zealand; School of Engineering, Computer & Mathematical Sciences, Auckland University of Technology, Auckland, New Zealand",2018 Eleventh International Conference on Mobile Computing and Ubiquitous Network (ICMU),"28 Feb 2019","2018","","","1","2","Falling is a global common health problem among older adults which causes minor to serious injuries such as fracture or even death. In recent years, many falls detection systems have been developed to support early detection and timely care to eliminate grave consequences. This research evaluates the potential of using smartphones for fall detection. In this research, two smartphones were used to collect acceleration data. Threshold approaches were applied on the collected data to detect potential falls. Evaluation results show that with proper chosen thresholds, the tested fall detection algorithm performs well with both sensitivity and specificity.","","978-4-907626-34-1","10.23919/ICMU.2018.8653613","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8653613","falls detection;smartphone;algorithm;threshold","Smart phones;Acceleration;Accelerometers;Sensitivity;Detection algorithms;Sensor systems","","4","","12","","28 Feb 2019","5-8 Oct. 2018","5-8 Oct. 2018","IEEE","IEEE Conferences"
"An Intelligence Security Alarming System With Fall Detection Algorithm","M. Han; J. Chen; Y. Lei; X. Duan; B. Jiao","mHealth Lab, School of EECS, Peking University, Beijing, China; mHealth Lab, School of EECS, Peking University, Beijing, China; mHealth Lab, School of EECS, Peking University, Beijing, China; mHealth Lab, School of EECS, Peking University, Beijing, China; mHealth Lab, School of EECS, Peking University, Beijing, China","2019 IEEE 3rd Information Technology, Networking, Electronic and Automation Control Conference (ITNEC)","6 Jun 2019","2019","","","2180","2184","Falls endanger the health of the elderly seriously. Fall detection and emergency alarm is very necessary. At present, the alarm system has the problems of low fall detection accuracy, high power consumption, poor user experience and slow feedback. We designed a low-power wearable smart device with fall detection and touch alarm based on nRF51-DK low-power MCU, which can last for 5 days and can be triggered without pressing. Its detection sensitivity reached 94.05%, and its feedback time is shorter than three seconds.","","978-1-5386-6243-4","10.1109/ITNEC.2019.8729483","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8729483","mHealth (mobile Health);Smart Wristlet;Fall Perception;BLE(Bluetooth Low Energy)","Senior citizens;Security;Hardware;Biomedical monitoring;Bluetooth;Acceleration;Power demand","","1","","15","IEEE","6 Jun 2019","15-17 March 2019","15-17 March 2019","IEEE","IEEE Conferences"
"A Security-Centric Deep Learning Enabled Camera Solution for Real-Time Human Fall Detection","H. R. Tohidypour; M. T. Pourazad; P. Nasiopoulos","Electrical & Computer Engineering, Univeristy of British Columbia, Vancouver, BC, Canada; Electrical & Computer Engineering, Univeristy of British Columbia, Vancouver, BC, Canada; Electrical & Computer Engineering, Univeristy of British Columbia, Vancouver, BC, Canada","2022 18th International Conference on Wireless and Mobile Computing, Networking and Communications (WiMob)","15 Nov 2022","2022","","","42","46","Automatic human real-time fall detection is a challenging task in remote healthcare, demanding a non-intrusive, secure and affordable solution. In this paper, we present a real-time hardware system that uses a deep learning model for fall detection embedded in a color camera. To reduce the startup delay and achieve real-time performance for the inference phase, we optimized our model using TensorRT. In addition, we addressed the board memory limitation using virtual memory and linear memory allocation and garbage collection. Moreover, GStreamer was used to perform most of the video processing using Jetson's GPU. Our live evaluation shows that our system achieved the accuracy of 84.44% and real-time performance.","2160-4894","978-1-6654-6975-3","10.1109/WiMob55322.2022.9941359","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9941359","fall detection;hardware;deep learning;smart home","Deep learning;Wireless communication;Graphics processing units;Streaming media;Cameras;Real-time systems;Hardware","","","","14","IEEE","15 Nov 2022","10-12 Oct. 2022","10-12 Oct. 2022","IEEE","IEEE Conferences"
